City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Coari,BR,2021-09-08 13:04:21,-4.085,-63.1414,84.74,63,38,4.38
157,Saint-Augustin,CA,2021-09-08 13:04:21,51.226,-58.6502,60.51,73,49,15.43
158,Yeppoon,AU,2021-09-08 13:04:22,-23.1333,150.7333,62.38,68,0,17.27
159,Mirador,BR,2021-09-08 13:04:22,-6.3708,-44.3631,89.04,43,72,6.31
160,Zhob,PK,2021-09-08 13:04:22,31.3411,69.4481,89.96,34,9,15.26
161,Netrakona,BD,2021-09-08 13:04:23,24.8833,90.7167,83.93,76,88,2.19
162,Tbilisskaya,RU,2021-09-08 13:04:23,45.3633,40.19,72.27,35,0,14.43
163,Tuatapere,NZ,2021-09-08 13:04:23,-46.1333,167.6833,43.83,94,100,10.67
164,Whitehorse,CA,2021-09-08 13:04:24,60.7161,-135.0538,47.17,100,75,0.0
165,Tabou,CI,2021-09-08 13:04:24,4.423,-7.3528,80.64,77,87,7.65
166,Cardston,CA,2021-09-08 13:04:25,49.2,-113.3019,53.31,49,90,6.6
167,Namatanai,PG,2021-09-08 13:04:25,-3.6667,152.4333,77.81,85,100,13.13
168,Kununurra,AU,2021-09-08 13:04:25,-15.7667,128.7333,71.58,43,0,4.61
169,Nuuk,GL,2021-09-08 13:00:22,64.1835,-51.7216,43.57,90,100,8.55
170,Barela,IN,2021-09-08 13:04:26,23.1,80.05,81.41,78,40,10.36
171,Sumter,US,2021-09-08 13:04:26,28.7086,-82.0831,83.1,89,25,2.62
172,Kisangani,CD,2021-09-08 13:04:26,0.5167,25.2,93.06,37,65,1.36
173,Puerto Escondido,MX,2021-09-08 13:04:27,15.85,-97.0667,76.03,78,1,8.05
174,Altay,CN,2021-09-08 13:04:27,47.8667,88.1167,66.9,33,0,1.34
175,Faanui,PF,2021-09-08 13:04:28,-16.4833,-151.75,78.12,79,16,15.35
176,Purna,IN,2021-09-08 13:04:28,19.1833,77.05,82.29,81,100,13.78
177,Saint-Philippe,RE,2021-09-08 13:04:28,-21.3585,55.7679,76.59,75,54,12.75
178,Taltal,CL,2021-09-08 13:04:28,-25.4,-70.4833,61.9,56,0,7.36
179,Rusanj,RS,2021-09-08 13:04:29,44.6848,20.4499,73.81,35,0,14.97
180,Atar,MR,2021-09-08 13:04:29,20.5169,-13.0499,105.64,18,0,9.42
181,Souillac,MU,2021-09-08 13:04:30,-20.5167,57.5167,73.36,67,25,16.04
182,Roma,US,2021-09-08 13:00:04,43.2128,-75.4557,73.65,79,80,5.99
183,Vysokogornyy,RU,2021-09-08 13:04:30,50.1167,139.15,54.64,89,78,1.14
184,Vadso,NO,2021-09-08 13:03:10,70.0744,29.7487,45.48,87,75,5.75
185,Bundaberg,AU,2021-09-08 13:00:17,-24.85,152.35,59.22,77,0,1.01
186,Kisaran,ID,2021-09-08 13:04:30,2.9845,99.6158,75.09,96,100,2.21
187,Tucurui,BR,2021-09-08 13:04:31,-3.7661,-49.6725,87.75,54,0,5.77
188,Deputatskiy,RU,2021-09-08 13:04:31,69.3,139.9,26.44,84,65,5.19
